Timestamp,Actual Grade,Predicted Grade
7/6/2017 17:07:34,35,38
7/6/2017 17:08:06,31,35
7/6/2017 17:09:24,42,43
7/6/2017 17:13:01,33,29
7/6/2017 17:14:23,39,37
7/6/2017 17:15:34,29,23
7/6/2017 17:15:59,29,23
7/6/2017 17:19:28,31,30
7/6/2017 17:20:10,31,32
7/6/2017 17:23:30,39,35
7/6/2017 17:24:21,43,43
7/6/2017 17:31:39,36,35
7/6/2017 17:38:47,35,37
7/6/2017 17:38:48,42,44
7/6/2017 17:40:13,44,44
7/6/2017 17:40:32,38,40
7/6/2017 17:41:56,29,32
7/6/2017 17:43:21,41,41
7/6/2017 17:44:24,39,38
7/6/2017 17:44:55,39,34
7/6/2017 17:46:21,40,42
7/6/2017 17:46:31,25,30
7/6/2017 17:47:48,37,24
7/6/2017 17:48:48,31,35
7/6/2017 17:50:19,25,27
7/6/2017 17:50:46,39,38
7/6/2017 17:53:45,39,39
7/6/2017 17:54:10,29,25
7/6/2017 17:54:40,30,32
7/6/2017 17:56:27,31,34
7/6/2017 17:57:28,37,40
7/6/2017 18:09:09,43,43
7/6/2017 18:10:37,31,28
7/6/2017 18:11:32,39,36
7/6/2017 18:14:41,31,31
7/6/2017 18:17:01,7,7
7/6/2017 18:20:50,22,28
7/6/2017 18:22:09,39,40
7/6/2017 18:34:08,37,38
7/6/2017 18:34:51,30,30
7/6/2017 18:54:22,41,42
7/6/2017 18:54:41,32,37
7/6/2017 18:54:52,35,42
7/6/2017 19:00:45,39,37
7/6/2017 19:01:12,33,33
7/6/2017 19:02:01,40,41
7/6/2017 19:27:30,42,41
7/6/2017 19:27:54,29,28
7/6/2017 19:31:23,28,34
7/6/2017 19:36:47,36,35
7/6/2017 19:39:11,38,36
7/6/2017 19:53:22,39,43
7/6/2017 19:54:32,45,44
7/6/2017 20:09:00,35,35
7/6/2017 20:13:29,34,34
7/6/2017 20:21:45,39,40
7/6/2017 20:22:08,39,40
7/6/2017 20:26:46,36,43
7/6/2017 20:35:02,6,7
7/6/2017 20:35:11,7,6
7/6/2017 20:41:07,5,7
7/6/2017 20:46:29,27,32
7/6/2017 21:06:09,43,45
7/6/2017 21:12:22,36,34
7/6/2017 21:32:51,29,35
7/6/2017 21:38:15,33,31
7/6/2017 21:40:58,29,38
7/6/2017 21:41:36,100,150
7/6/2017 21:49:41,43,44
7/6/2017 22:41:19,27,38
7/6/2017 22:42:00,30,41
7/6/2017 22:49:02,31,31
7/6/2017 22:58:29,33,33
7/6/2017 23:22:54,28,34
7/6/2017 23:33:41,39,40
7/6/2017 23:36:59,39,42
7/6/2017 23:41:22,37,41
7/6/2017 23:46:16,41,40
7/7/2017 0:08:58,41,41
7/7/2017 0:54:50,43,44
7/7/2017 0:56:38,35,34
7/7/2017 1:12:49,35,38
7/7/2017 2:11:10,29,39
7/7/2017 2:28:46,7,6
7/7/2017 2:35:35,35,40
7/7/2017 2:35:41,35,34
7/7/2017 2:51:02,40,43
7/7/2017 2:51:23,35,28
7/7/2017 2:55:48,5,6
7/7/2017 2:58:17,32,33
7/7/2017 3:06:45,42,43
7/7/2017 3:08:23,41,40
7/7/2017 4:10:46,36,37
7/7/2017 4:49:24,40,36
7/7/2017 5:06:21,26,23
7/7/2017 5:20:09,39,40
7/7/2017 5:52:52,33,32
7/7/2017 6:25:50,40,45
7/7/2017 6:40:08,23,45
7/7/2017 6:46:01,37,36
7/7/2017 7:12:45,45,43
7/7/2017 7:24:49,38,38
7/7/2017 7:30:56,40,38
